alpha,method,coverage,set_size
0.02,global_lac,0.9894736842105263,1.6526315789473685
0.02,local_lac,0.9831578947368421,1.6589473684210527
0.02,local_aps,1.0,3.856842105263158
0.02,fed_dscp,0.9831578947368421,1.6589473684210527
0.02,shrink_v2,0.9831578947368421,1.6
0.02,cvae_cp,0.9831578947368421,1.6442105263157896
0.02,condkde,0.9726315789473684,1.5810526315789473
0.04,global_lac,0.9578947368421052,1.3768421052631579
0.04,local_lac,0.9726315789473684,1.6063157894736841
0.04,local_aps,1.0,3.4294736842105262
0.04,fed_dscp,0.9726315789473684,1.6063157894736841
0.04,shrink_v2,0.9621052631578947,1.4421052631578948
0.04,cvae_cp,0.9642105263157895,1.5157894736842106
0.04,condkde,0.9473684210526315,1.3663157894736842
0.06,global_lac,0.9389473684210526,1.2736842105263158
0.06,local_lac,0.9452631578947368,1.454736842105263
0.06,local_aps,1.0,3.294736842105263
0.06,fed_dscp,0.9452631578947368,1.454736842105263
0.06,shrink_v2,0.9368421052631579,1.3094736842105263
0.06,cvae_cp,0.9389473684210526,1.3368421052631578
0.06,condkde,0.9326315789473684,1.2610526315789474
0.08,global_lac,0.9305263157894736,1.223157894736842
0.08,local_lac,0.9452631578947368,1.4042105263157896
0.08,local_aps,1.0,3.208421052631579
0.08,fed_dscp,0.9452631578947368,1.4042105263157896
0.08,shrink_v2,0.9305263157894736,1.256842105263158
0.08,cvae_cp,0.9284210526315789,1.2589473684210526
0.08,condkde,0.9242105263157895,1.2105263157894737
0.1,global_lac,0.8989473684210526,1.1452631578947368
0.1,local_lac,0.9263157894736842,1.2505263157894737
0.1,local_aps,1.0,3.096842105263158
0.1,fed_dscp,0.9263157894736842,1.2505263157894737
0.1,shrink_v2,0.9221052631578948,1.1873684210526316
0.1,cvae_cp,0.9157894736842105,1.1663157894736842
0.1,condkde,0.9136842105263158,1.1578947368421053
0.12,global_lac,0.8863157894736842,1.0968421052631578
0.12,local_lac,0.9221052631578948,1.2084210526315788
0.12,local_aps,1.0,2.9768421052631577
0.12,fed_dscp,0.9221052631578948,1.2084210526315788
0.12,shrink_v2,0.9136842105263158,1.1578947368421053
0.12,cvae_cp,0.9094736842105263,1.1452631578947368
0.12,condkde,0.8968421052631579,1.128421052631579
0.14,global_lac,0.8778947368421053,1.0336842105263158
0.14,local_lac,0.8989473684210526,1.1389473684210527
0.14,local_aps,1.0,2.9073684210526314
0.14,fed_dscp,0.8989473684210526,1.1389473684210527
0.14,shrink_v2,0.888421052631579,1.0968421052631578
0.14,cvae_cp,0.8863157894736842,1.0778947368421052
0.14,condkde,0.8842105263157894,1.0694736842105264
0.16,global_lac,0.8736842105263158,1.0105263157894737
0.16,local_lac,0.8905263157894737,1.1031578947368421
0.16,local_aps,1.0,2.865263157894737
0.16,fed_dscp,0.8905263157894737,1.1031578947368421
0.16,shrink_v2,0.8842105263157894,1.065263157894737
0.16,cvae_cp,0.8821052631578947,1.0547368421052632
0.16,condkde,0.8821052631578947,1.0547368421052632
0.18,global_lac,0.871578947368421,1.0021052631578948
0.18,local_lac,0.8842105263157894,1.0736842105263158
0.18,local_aps,1.0,2.7978947368421054
0.18,fed_dscp,0.8842105263157894,1.0736842105263158
0.18,shrink_v2,0.8821052631578947,1.0378947368421052
0.18,cvae_cp,0.8821052631578947,1.0421052631578946
0.18,condkde,0.8821052631578947,1.0421052631578946
0.2,global_lac,0.8694736842105263,1.0
0.2,local_lac,0.8821052631578947,1.0526315789473684
0.2,local_aps,1.0,2.778947368421053
0.2,fed_dscp,0.8821052631578947,1.0526315789473684
0.2,shrink_v2,0.8778947368421053,1.023157894736842
0.2,cvae_cp,0.8821052631578947,1.0357894736842106
0.2,condkde,0.8821052631578947,1.0357894736842106
0.22,global_lac,0.8694736842105263,1.0
0.22,local_lac,0.8821052631578947,1.0315789473684212
0.22,local_aps,1.0,2.734736842105263
0.22,fed_dscp,0.8821052631578947,1.0315789473684212
0.22,shrink_v2,0.8757894736842106,1.0147368421052632
0.22,cvae_cp,0.8778947368421053,1.016842105263158
0.22,condkde,0.8778947368421053,1.016842105263158
0.24,global_lac,0.8694736842105263,1.0
0.24,local_lac,0.8778947368421053,1.0210526315789474
0.24,local_aps,1.0,2.7221052631578946
0.24,fed_dscp,0.8778947368421053,1.0210526315789474
0.24,shrink_v2,0.871578947368421,1.0063157894736843
0.24,cvae_cp,0.871578947368421,1.0105263157894737
0.24,condkde,0.8736842105263158,1.0126315789473683
0.26,global_lac,0.8694736842105263,1.0
0.26,local_lac,0.8757894736842106,1.0147368421052632
0.26,local_aps,1.0,2.6673684210526316
0.26,fed_dscp,0.8757894736842106,1.0147368421052632
0.26,shrink_v2,0.871578947368421,1.0042105263157894
0.26,cvae_cp,0.871578947368421,1.0084210526315789
0.26,condkde,0.871578947368421,1.0084210526315789
0.28,global_lac,0.8694736842105263,1.0
0.28,local_lac,0.871578947368421,1.0063157894736843
0.28,local_aps,1.0,2.5873684210526315
0.28,fed_dscp,0.871578947368421,1.0063157894736843
0.28,shrink_v2,0.8694736842105263,1.0
0.28,cvae_cp,0.871578947368421,1.0042105263157894
0.28,condkde,0.871578947368421,1.0042105263157894
